user_id,Gender,Age,District
1,Male,19,Jerusalem
2,Male,21,Jerusalem
3,Female,20,Central Israel
4,Female,23,Haifa
5,Female,31,South of Israel
6,Female,22,Tel Aviv
7,Female,35,Jerusalem
8,Female,23,Haifa
9,Male,64,Tel Aviv
10,Female,30,Tel Aviv
11,Male,67,Central Israel
12,Female,35,North of Israel
13,Female,58,Jerusalem
14,Female,24,North of Israel
15,Male,37,Haifa
16,Male,22,North of Israel
17,Female,35,South of Israel
18,Male,20,North of Israel
19,Male,52,Haifa
20,Female,35,South of Israel
21,Male,35,Haifa
22,Male,25,Central Israel
23,Female,46,North of Israel
24,Male,31,Tel Aviv
25,Female,54,Haifa
26,Male,29,Jerusalem
27,Female,45,Central Israel
28,Male,35,Jerusalem
29,Female,40,Haifa
30,Female,23,North of Israel
31,Male,60,South of Israel
32,Female,21,Haifa
33,Male,53,Tel Aviv
34,Male,18,Haifa
35,Female,49,Central Israel
36,Female,21,South of Israel
37,Female,42,South of Israel
38,Female,30,Haifa
39,Female,36,South of Israel
40,Female,20,Haifa
41,Female,65,Haifa
42,Male,24,North of Israel
43,Male,48,North of Israel
44,Female,31,Central Israel
45,Female,49,Central Israel
46,Female,24,South of Israel
47,Female,50,North of Israel
48,Female,27,Central Israel
49,Female,29,Tel Aviv
50,Female,31,Tel Aviv
51,Female,49,Central Israel
52,Male,33,Jerusalem
53,Female,31,Jerusalem
54,Male,59,Central Israel
55,Female,50,Haifa
56,Male,47,Jerusalem
57,Female,51,Central Israel
58,Male,69,North of Israel
59,Female,27,Central Israel
60,Male,53,Central Israel
61,Male,70,Central Israel
62,Male,19,South of Israel
63,Female,67,Central Israel
64,Female,54,Jerusalem
65,Male,63,Central Israel
66,Male,18,Tel Aviv
67,Female,43,North of Israel
68,Female,68,Central Israel
69,Male,19,South of Israel
70,Female,32,Central Israel
71,Male,70,Haifa
72,Female,47,Central Israel
73,Female,60,Haifa
74,Female,60,Central Israel
75,Male,59,South of Israel
76,Male,26,North of Israel
77,Female,45,South of Israel
78,Male,40,Jerusalem
79,Female,23,Haifa
80,Female,49,Tel Aviv
81,Male,57,South of Israel
82,Male,38,Tel Aviv
83,Male,67,Jerusalem
84,Female,46,South of Israel
85,Female,21,North of Israel
86,Male,48,South of Israel
87,Female,55,Central Israel
88,Female,22,North of Israel
89,Female,34,South of Israel
90,Female,50,Central Israel
91,Female,68,Tel Aviv
92,Male,18,Tel Aviv
93,Male,48,Central Israel
94,Female,40,South of Israel
95,Female,32,South of Israel
96,Male,24,South of Israel
97,Female,47,Haifa
98,Female,27,South of Israel
99,Male,48,North of Israel
100,Male,20,North of Israel
101,Female,23,Haifa
102,Female,49,Central Israel
103,Male,67,Tel Aviv
104,Male,26,Haifa
105,Male,49,North of Israel
106,Female,21,Tel Aviv
107,Female,66,Haifa
108,Male,54,South of Israel
109,Male,68,Tel Aviv
110,Male,66,Central Israel
111,Male,65,North of Israel
112,Female,19,North of Israel
113,Female,38,Tel Aviv
114,Male,19,Jerusalem
115,Female,18,South of Israel
116,Female,19,Central Israel
117,Female,63,Tel Aviv
118,Female,49,Central Israel
119,Female,51,Tel Aviv
120,Female,50,Central Israel
121,Male,27,North of Israel
122,Female,38,North of Israel
123,Female,40,South of Israel
124,Male,39,Central Israel
125,Female,23,Tel Aviv
126,Female,31,North of Israel
127,Male,43,Jerusalem
128,Male,40,South of Israel
129,Male,59,Haifa
130,Male,38,Central Israel
131,Male,47,Central Israel
132,Male,39,Tel Aviv
133,Female,25,South of Israel
134,Female,31,Tel Aviv
135,Male,20,North of Israel
136,Female,29,Central Israel
137,Female,44,Haifa
138,Male,32,Central Israel
139,Male,19,Central Israel
140,Female,35,Central Israel
